,activation_type,min_proportion,Run,Active,Average Jailing Term,Jailed,Quiescent,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
119,quadratic,0.6,119,306,10.698064516129032,775,59,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
120,quadratic,0.7,120,563,10.58527827648115,557,32,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
121,quadratic,0.7,121,449,10.716840536512668,671,56,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
122,quadratic,0.7,122,446,10.41820987654321,648,49,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
123,quadratic,0.7,123,3,10.468253968253968,252,881,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
124,quadratic,0.7,124,375,10.684438040345821,694,73,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
125,quadratic,0.7,125,549,10.138053097345132,565,35,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
126,quadratic,0.7,126,313,10.714099216710183,766,77,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
127,quadratic,0.7,127,501,10.476764199655767,581,46,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
128,quadratic,0.7,128,361,10.532503457814661,723,76,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
129,quadratic,0.7,129,453,10.444272445820433,646,60,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
130,quadratic,0.7999999999999999,130,398,11.06547619047619,672,66,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
131,quadratic,0.7999999999999999,131,420,10.451355661881978,627,57,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
132,quadratic,0.7999999999999999,132,487,10.36734693877551,588,55,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
133,quadratic,0.7999999999999999,133,336,10.871287128712872,707,83,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
134,quadratic,0.7999999999999999,134,433,10.13425925925926,648,55,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
135,quadratic,0.7999999999999999,135,286,10.566442953020134,745,83,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
136,quadratic,0.7999999999999999,136,349,10.514880952380953,672,70,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
137,quadratic,0.7999999999999999,137,374,10.294561933534743,662,60,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
138,quadratic,0.7999999999999999,138,489,10.541176470588235,595,45,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
139,quadratic,0.7999999999999999,139,348,10.394190871369295,723,63,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
140,quadratic,0.8999999999999999,140,503,10.148900169204738,591,56,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
141,quadratic,0.8999999999999999,141,552,10.465549348230912,537,48,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
142,quadratic,0.8999999999999999,142,1,7.944444444444445,180,921,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
143,quadratic,0.8999999999999999,143,509,10.667838312829526,569,57,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
144,quadratic,0.8999999999999999,144,263,10.27369826435247,749,137,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
145,quadratic,0.8999999999999999,145,482,10.503355704697986,596,61,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
146,quadratic,0.8999999999999999,146,314,10.626388888888888,720,77,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
147,quadratic,0.8999999999999999,147,370,10.45059880239521,668,69,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
148,quadratic,0.8999999999999999,148,466,10.587171052631579,608,59,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
149,quadratic,0.8999999999999999,149,175,10.518181818181818,770,169,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
150,logistic,0.5,150,293,10.781922525107603,697,108,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
151,logistic,0.5,151,436,10.20710973724884,647,65,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
152,logistic,0.5,152,0,11.405405405405405,37,1099,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
153,logistic,0.5,153,344,10.965181058495821,718,96,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
154,logistic,0.5,154,0,11.375,24,1087,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
155,logistic,0.5,155,561,12.04121863799283,558,35,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
156,logistic,0.5,156,453,11.424806201550387,645,34,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
157,logistic,0.5,157,342,10.754957507082153,706,73,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
158,logistic,0.5,158,66,10.705722070844686,734,349,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
159,logistic,0.5,159,0,9.105263157894736,19,1089,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
160,logistic,0.6,160,164,10.602721088435374,735,218,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
161,logistic,0.6,161,54,10.754874651810585,718,353,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
162,logistic,0.6,162,513,10.872340425531915,564,33,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
163,logistic,0.6,163,0,6.109677419354838,310,812,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
164,logistic,0.6,164,0,9.434782608695652,23,1107,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
165,logistic,0.6,165,460,10.031825795644892,597,56,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
166,logistic,0.6,166,431,10.445131375579598,647,69,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
167,logistic,0.6,167,0,10.076923076923077,26,1062,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
168,logistic,0.6,168,474,10.491525423728813,590,49,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
169,logistic,0.6,169,418,11.334795321637428,684,46,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
170,logistic,0.7,170,633,10.560416666666667,480,47,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
171,logistic,0.7,171,81,12.097087378640778,515,560,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
172,logistic,0.7,172,530,10.674825174825175,572,58,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
173,logistic,0.7,173,1,6.862595419847328,262,839,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
174,logistic,0.7,174,0,9.571428571428571,21,1132,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
175,logistic,0.7,175,512,12.546875,576,33,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
176,logistic,0.7,176,252,11.003947368421052,760,115,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
177,logistic,0.7,177,520,10.611615245009075,551,54,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
178,logistic,0.7,178,325,10.714508580343214,641,186,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
179,logistic,0.7,179,241,10.610817941952506,758,143,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
180,logistic,0.7999999999999999,180,0,4.410256410256411,78,1044,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
181,logistic,0.7999999999999999,181,0,8.332089552238806,268,880,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
182,logistic,0.7999999999999999,182,0,8.183266932270916,251,887,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
183,logistic,0.7999999999999999,183,0,11.692307692307692,26,1096,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
184,logistic,0.7999999999999999,184,425,10.405940594059405,606,114,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
185,logistic,0.7999999999999999,185,0,10.524421593830334,389,739,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
186,logistic,0.7999999999999999,186,544,10.179533213644524,557,59,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
187,logistic,0.7999999999999999,187,0,6.4,60,1074,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
188,logistic,0.7999999999999999,188,131,10.318611987381704,634,394,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
189,logistic,0.7999999999999999,189,0,5.058333333333334,120,979,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
190,logistic,0.8999999999999999,190,0,9.015873015873016,378,776,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
191,logistic,0.8999999999999999,191,236,11.560885608856088,271,621,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
192,logistic,0.8999999999999999,192,1,6.159722222222222,144,1006,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
193,logistic,0.8999999999999999,193,0,10.954545454545455,44,1096,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
194,logistic,0.8999999999999999,194,1,7.55188679245283,212,904,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
195,logistic,0.8999999999999999,195,413,12.542307692307693,260,440,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
196,logistic,0.8999999999999999,196,6,11.103157894736842,475,658,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
197,logistic,0.8999999999999999,197,576,11.367424242424242,528,44,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
198,logistic,0.8999999999999999,198,267,13.29503105590062,322,555,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
199,logistic,0.8999999999999999,199,274,10.354961832061068,262,561,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
